table,field,airtable_type,result_type,logic,proposed_recreation
Investments,Latest_debt_balance,rollup,currency,Loan_summary_data.[Latest_debt_balance] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Latest_net_equity,formula,currency,{Latest_valuation}-{Latest_debt_balance},Postgres generated column or view expression
Investments,Sale_cash_disbursement,formula,currency,{Sale_price}-{Selling_expense},Postgres generated column or view expression
Investments,Taxable_capital_gain,formula,currency,{Sale_cash_disbursement}-{2024_tax_net_book_val.},Postgres generated column or view expression
Investments,Total_capital_gain,formula,currency,{ST_capital_gain}+{LT_capital_gain},Postgres generated column or view expression
Investments,Monthly_debt_payment,rollup,currency,Loan_summary_data.[Monthly_debt_payment] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,TTM_debt_payment,rollup,currency,Asset_detail.[TTM_debt_payment] via link [Asset_detail_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,TTM_cash_flow,rollup,currency,Hotel_actuals.[Cash_flow] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,2022_tax_net_book_value,formula,currency,{Tax_cost}-{2022_tax_end_depreciation},Postgres generated column or view expression
Investments,TTM_valuation_variance,formula,currency,{Latest_valuation}-{TTM_valuation},Postgres generated column or view expression
Investments,LTV,formula,percent,{Latest_debt_balance}/{Latest_valuation},Postgres generated column or view expression
Investments,Room_count,multipleLookupValues,number,Asset_detail.[Room_count] via link [Asset_detail_link],JOIN to the linked table in a view (returns array)
Investments,Value_per_key,formula,currency,{Latest_valuation}/{Room_count},Postgres generated column or view expression
Investments,Debt_per_key,formula,currency,{Latest_debt_balance}/{Room_count},Postgres generated column or view expression
Investments,Equity_recap,formula,currency,{Latest_valuation}-{Latest_debt_balance}-({Latest_valuation}*.05),Postgres generated column or view expression
Investments,City,multipleLookupValues,singleSelect,Asset_detail.[City] via link [Asset_detail_link],JOIN to the linked table in a view (returns array)
Investments,State,multipleLookupValues,singleSelect,Asset_detail.[State] via link [Asset_detail_link],JOIN to the linked table in a view (returns array)
Investments,MOIC,formula,number,{Total_distributed}/{Total_contributed},Postgres generated column or view expression
Investments,TTM_LTV,formula,percent,{Latest_debt_balance}/{TTM_valuation},Postgres generated column or view expression
Investments,Renovation_internal_target_end_date,multipleLookupValues,date,Asset_detail.[Renovation_internal_target_end_date] via link [Asset_detail_link],JOIN to the linked table in a view (returns array)
Investments,Implied_cap_rate_TTM,formula,percent,{TTM_NOI}/{Latest_valuation},Postgres generated column or view expression
Investments,Hotel_brand,multipleLookupValues,multipleRecordLinks,Asset_detail.[Hotel_brand_metrics_link] via link [Asset_detail_link],JOIN to the linked table in a view (returns array)
Investments,Open_year,multipleLookupValues,number,Asset_detail.[Open_year] via link [Asset_detail_link],JOIN to the linked table in a view (returns array)
Investments,YE23_est_interest_expense,rollup,currency,Loan_summary_data.[YE23_est_interest_expense] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,YE24_est_interest_expense,rollup,currency,Loan_summary_data.[YE24_est_interest_expense] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,YE25_est_interest_expense,rollup,currency,Loan_summary_data.[YE25_est_interest_expense] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,YE26_est_interest_expense,rollup,currency,Loan_summary_data.[YE26_est_interest_expense] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,YE27_est_interest_expense,rollup,currency,Loan_summary_data.[YE27_est_interest_expense] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,YE28_est_interest_expense,rollup,currency,Loan_summary_data.[YE28_est_interest_expense] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Last_updated,lastModifiedTime,dateTime,,updated_at timestamptz via trigger
Investments,Latest_cash_balance_date,rollup,date,Cash_accounts.[Latest_balance_date] via link [Cash_accounts_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Debt_recourse,multipleLookupValues,singleSelect,Loan_summary_data.[Debt_recourse] via link [Loan_summary_data_link],JOIN to the linked table in a view (returns array)
Investments,Latest_financials_date,rollup,date,Hotel_actuals.[Date] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Latest_forecast_date,rollup,date,Hotel_forecast.[Forecast_period] via link [Hotel_forecast_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Hotel_anonymous_reference,multipleLookupValues,singleLineText,Asset_detail.[Hotel_anonymous_reference] via link [Asset_detail_link],JOIN to the linked table in a view (returns array)
Investments,Asset_age,multipleLookupValues,number,Asset_detail.[Asset_age] via link [Asset_detail_link],JOIN to the linked table in a view (returns array)
Investments,PIP_funding_strategy,multipleLookupValues,singleSelect,Asset_detail.[PIP_funding_strategy] via link [Asset_detail_link],JOIN to the linked table in a view (returns array)
Investments,Est_PIP_cost_per_key,formula,currency,{Est_PIP_cost}/{Room_count},Postgres generated column or view expression
Investments,Open_committment,formula,currency,{Total_committed}- {Total_contributed},Postgres generated column or view expression
Investments,Years_until_PIP,formula,number,"IF({Renovation_internal_target_end_date}=BLANK(),BLANK(),DATETIME_DIFF({Renovation_internal_target_end_date},TODAY(),'days')/365)",Postgres generated column or view expression
Investments,Remaining_franchise_term_years,multipleLookupValues,number,Asset_detail.[Remaining_franchise_term_years] via link [Asset_detail_link],JOIN to the linked table in a view (returns array)
Investments,2024_NOI,rollup,currency,Hotel_actuals.[EBITDA_NOI] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,2024_taxable_income,formula,currency,{2024_NOI}-{2024_total_depreciation}-{YE24_est_interest_expense},Postgres generated column or view expression
Investments,2024_cash_flow,rollup,currency,Hotel_actuals.[Cash_flow] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Forecasted_cash_flow_for_PIP,formula,currency,"IF(
  {Years_until_PIP}=BLANK()
,BLANK()
,IF({Years_until_PIP}<0,BLANK(),{2025_Act+Bud_cash_flow}*{Years_until_PIP}))",Postgres generated column or view expression
Investments,Post_PIP_cash_reserve,formula,currency,"IF(OR({Est_PIP_cost}=0,{Est_PIP_cost}=BLANK())
,
BLANK()
,
{Forecasted_cash_flow_for_PIP}
+{Reserve_balance}
-{Est_PIP_cost})",Postgres generated column or view expression
Investments,TTM_DSCR,formula,number,"IF({TTM_debt_payment}=BLANK(),BLANK(),{Adj_TTM_NOI}/{TTM_debt_payment})",Postgres generated column or view expression
Investments,Loan_maturity,multipleLookupValues,date,Loan_summary_data.[Loan_maturity] via link [Loan_summary_data_link],JOIN to the linked table in a view (returns array)
Investments,PIP_funding_status,formula,singleSelect,"IF(OR({Years_until_PIP}<=0,"""",{Post_PIP_cash_reserve}>0),""Property Funded"",""Needs Capital"")",Postgres generated column or view expression
Investments,Latest_month_NOI,rollup,currency,Hotel_actuals.[EBITDA_NOI] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Latest_month_cash_flow,rollup,currency,Hotel_actuals.[Cash_flow] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,TTM_GOP,rollup,currency,Asset_detail.[TTM_GOP] via link [Asset_detail_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Latest_month_DSCR,formula,number,"IF(OR({Monthly_debt_payment}=BLANK(),{Latest_month_adjusted_NOI}=BLANK()),BLANK(),ROUND({Latest_month_adjusted_NOI},2)/{Monthly_debt_payment})",Postgres generated column or view expression
Investments,2024_total_depreciation,formula,currency,"{2024_depreciation}+
({2024_acquisition_bonus_depreciation}+
{2024_PIP_depreciation}+
{2024_new_build_depreciation})*.6",Postgres generated column or view expression
Investments,YE24_actual_interest_expense,rollup,currency,Hotel_actuals.[Interest_expense] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,TTM_debt_yield,formula,percent,"IF(OR({Latest_debt_balance}=BLANK(),{TTM_NOI}=BLANK()),BLANK(),{TTM_NOI}/{Latest_debt_balance})",Postgres generated column or view expression
Investments,Interest_rate_reset_date,multipleLookupValues,date,Loan_summary_data.[Interest_rate_reset_date] via link [Loan_summary_data_link],JOIN to the linked table in a view (returns array)
Investments,Interest_rate,multipleLookupValues,number,Loan_summary_data.[Interest_rate] via link [Loan_summary_data_link],JOIN to the linked table in a view (returns array)
Investments,Total_loan_principal,rollup,currency,Loan_summary_data.[Initial_principal] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Quarterly_loan_paydown_rollup,rollup,currency,Loan_summary_data.[Latest_quarter_debt_paydown] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Quarterly_loan_paydown,formula,currency,"IF({Quarterly_loan_paydown_rollup}=0,BLANK(),
IF({Quarter_loan_paydown_manual_adj}>BLANK(),
{Quarter_loan_paydown_manual_adj},{Quarterly_loan_paydown_rollup}
))",Postgres generated column or view expression
Investments,2025_NOI_actuals,rollup,currency,Hotel_actuals.[EBITDA_NOI] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,2025_NOI_budget,rollup,currency,Hotel_budget.[EBITDA_NOI] via link [Hotel_budget_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,2025_NOI_Act+Bud,formula,currency,"{2025_NOI_actuals}+{2025_NOI_budget}*.8
",Postgres generated column or view expression
Investments,2025_Act+Bud_cash_flow,formula,currency,{2025_NOI_Act+Bud}-{TTM_debt_payment},Postgres generated column or view expression
Investments,2025_Act+Bud_taxable_income,formula,currency,"IF(OR({Investment_status}=""Active"",{Investment_status}=""Active - Construction""),{2025_NOI_Act+Bud}+{CY_cash_interest_income_estimate}-{2025_total_depreciation}-{YE25_est_interest_expense},BLANK())",Postgres generated column or view expression
Investments,2025_total_depreciation,formula,currency,"{2025_depreciation}+
({2025_acquisition_bonus_depreciation}+
{2025_PIP_depreciation}+
{2025_new_build_depreciation})",Postgres generated column or view expression
Investments,2025_distributions,rollup,currency,Distributions.[Amount] via link [Distributions],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,NOI_needed_to_exit,formula,currency,{Target_exit_value}*{Target_exit cap_rate},Postgres generated column or view expression
Investments,NOI_gap_vs._target,formula,currency,{NOI_needed_to_exit}-{TTM_NOI},Postgres generated column or view expression
Investments,NOI_gap_vs._target_%,formula,percent,"IF({NOI_needed_to_exit}=BLANK(),BLANK(),({NOI_needed_to_exit}-{TTM_NOI})/{TTM_NOI})",Postgres generated column or view expression
Investments,25_yr_refi_variance,multipleLookupValues,currency,Debt_resizing.[25_yr_refi_variance] via link [Debt_resizing_link],JOIN to the linked table in a view (returns array)
Investments,Monthly_debt_payment_date,multipleLookupValues,number,Loan_summary_data.[Monthly_debt_payment_date] via link [Loan_summary_data_link],JOIN to the linked table in a view (returns array)
Investments,2025_NOI_forecast,rollup,currency,Hotel_forecast.[EBITDA_NOI] via link [Hotel_forecast_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,2025_NOI_budget_ex_fcst,rollup,currency,Hotel_budget.[EBITDA_NOI] via link [Hotel_budget_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,2025_NOI_Act+Fcst+Bud,formula,currency,"{2025_NOI_actuals}+{2025_NOI_forecast}+{2025_NOI_budget_ex_fcst}
",Postgres generated column or view expression
Investments,Hotel_franchise,multipleLookupValues,multipleRecordLinks,Asset_detail.[Hotel_brand_metrics_link] via link [Asset_detail_link],JOIN to the linked table in a view (returns array)
Investments,CY_cash_interest_income_estimate,rollup,currency,Cash_accounts.[CY_interest_income_estimate] via link [Cash_accounts_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,2025_cash_flow_Act+Fcst+Bud,formula,currency,"{2025_NOI_actuals}+{2025_NOI_forecast}+{2025_NOI_budget_ex_fcst}-{TTM_debt_payment}
",Postgres generated column or view expression
Investments,YTD_cash_flow,rollup,currency,Hotel_actuals.[Cash_flow] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,YE29_est_interest_expense,rollup,currency,Loan_summary_data.[YE29_est_interest_expense] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,YE30_est_interest_expense,rollup,currency,Loan_summary_data.[YE30_est_interest_expense] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,YE31_est_interest_expense,rollup,currency,Loan_summary_data.[YE31_est_interest_expense] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,YE32_est_interest_expense,rollup,currency,Loan_summary_data.[YE32_est_interest_expense] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,YE33_est_interest_expense,rollup,currency,Loan_summary_data.[YE33_est_interest_expense] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,YE34_est_interest_expense,rollup,currency,Loan_summary_data.[YE34_est_interest_expense] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,YE35_est_interest_expense,rollup,currency,Loan_summary_data.[YE35_est_interest_expense] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Latest_month_adjusted_NOI,rollup,currency,Hotel_actuals.[Adjusted_NOI] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,TTM_DSCR_non_adjusted,formula,number,"IF({TTM_debt_payment}=BLANK(),BLANK(),{TTM_NOI}/{TTM_debt_payment})",Postgres generated column or view expression
Investments,Guarantee_structure,multipleLookupValues,singleSelect,Loan_summary_data.[Guarantee_structure] via link [Loan_summary_data_link],JOIN to the linked table in a view (returns array)
Investments,2026_NOI_actuals,rollup,currency,Hotel_actuals.[EBITDA_NOI] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Internal_asset_name,multipleLookupValues,singleLineText,Asset_detail.[Internal_asset_name] via link [Asset_detail_link],JOIN to the linked table in a view (returns array)
Investments,SP_ownership,rollup,percent,Investment_positions.[L1_ownership_percentage] via link [Investment_positions_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Reporting_category_breakdown,multipleLookupValues,singleSelect,Investment_positions.[Reporting_category_breakdown] via link [Investment_positions_link],JOIN to the linked table in a view (returns array)
Investments,Lenders,multipleLookupValues,multipleRecordLinks,Loan_summary_data.[Lenders_link] via link [Loan_summary_data_link],JOIN to the linked table in a view (returns array)
Investments,2026_NOI_budget,rollup,currency,Hotel_budget.[EBITDA_NOI] via link [Hotel_budget_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,2026_Act+Bud_cash_flow,formula,currency,{2026_NOI_Act+Bud}-{TTM_debt_payment},Postgres generated column or view expression
Investments,2026_NOI_Act+Bud,formula,currency,"{2026_NOI_actuals}+{2026_NOI_budget}
",Postgres generated column or view expression
Investments,2026_NOI_forecast,rollup,currency,Hotel_forecast.[EBITDA_NOI] via link [Hotel_forecast_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,2026_NOI_Act+Fcst+Bud,formula,currency,"{2026_NOI_actuals}+{2026_NOI_forecast}+{2026_NOI_budget_ex_fcst}
",Postgres generated column or view expression
Investments,2026_NOI_budget_ex_fcst,rollup,currency,Hotel_budget.[EBITDA_NOI] via link [Hotel_budget_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,2026_total_depreciation,formula,currency,"{2026_depreciation}+
({2026_acquisition_bonus_depreciation}+
{2026_PIP_depreciation}+
{2026_new_build_depreciation})",Postgres generated column or view expression
Investments,2026_Act+Bud_taxable_income,formula,currency,"IF(OR({Investment_status}=""Active"",{Investment_status}=""Active - Construction""),{2026_NOI_Act+Bud}+{CY_cash_interest_income_estimate}-{2026_total_depreciation}-{YE26_est_interest_expense},BLANK())",Postgres generated column or view expression
Investments,2026_DSCR_non_adjusted_Act+Fcst+Bud,formula,number,{2026_NOI_Act+Fcst+Bud}/{Monthly_debt_payment}*12,Postgres generated column or view expression
Investments,Amortization,multipleLookupValues,singleLineText,Loan_summary_data.[Amortization_months] via link [Loan_summary_data_link],JOIN to the linked table in a view (returns array)
Investments,Purchase_price,multipleLookupValues,currency,Asset_detail.[Purchase_price] via link [Asset_detail_link],JOIN to the linked table in a view (returns array)
Investments,AP_FamCo_ownership_flowthrough,rollup,percent,Investment_positions.[AP_FamCo_ownership_flowthrough] via link [Investment_positions_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,SP_FamCo_ownership_flowthrough,rollup,percent,Investment_positions.[SP_FamCo_ownership_flowthrough] via link [Investment_positions_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,AP_FamCo_ownership_L1,rollup,percent,Investment_positions.[L1_ownership_percentage] via link [Investment_positions_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,SP_FamCo_ownership_L1,rollup,percent,Investment_positions.[L1_ownership_percentage] via link [Investment_positions_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,AP_FamCo_ownership,formula,percent,{AP_FamCo_ownership_flowthrough}+{AP_FamCo_ownership_L1},Postgres generated column or view expression
Investments,SP_FamCo_ownership,formula,percent,{SP_FamCo_ownership_flowthrough}+{SP_FamCo_ownership_L1},Postgres generated column or view expression
Investments,EPL_ownership,rollup,percent,Investment_positions.[L1_ownership_percentage] via link [Investment_positions_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Founders_Fund_ownership,formula,percent,{Founders_fund_ownership_L1}+{Founders_fund_ownership_flowthrough},Postgres generated column or view expression
Investments,Witness_external_ownership_L1,rollup,percent,Investment_positions.[L1_ownership_percentage] via link [Investment_positions_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Witness_external_ownership_flowthrough,rollup,percent,Investment_positions.[Witness_external_ownership_flowthrough] via link [Investment_positions_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Witness_external_ownership,formula,percent,{Witness_external_ownership_L1}+{Witness_external_ownership_flowthrough},Postgres generated column or view expression
Investments,Founders_fund_ownership_L1,rollup,percent,Investment_positions.[L1_ownership_percentage] via link [Investment_positions_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,Founders_fund_ownership_flowthrough,rollup,percent,Investment_positions.[Founders_fund_ownership_flowthrough] via link [Investment_positions_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,AP_loan_guarantee,multipleLookupValues,singleSelect,Loan_summary_data.[AP_guarantee] via link [Loan_summary_data_link],JOIN to the linked table in a view (returns array)
Investments,SP_loan_guarantee,multipleLookupValues,singleSelect,Loan_summary_data.[SP_guarantee] via link [Loan_summary_data_link],JOIN to the linked table in a view (returns array)
Investments,Pre-Payment,multipleLookupValues,date,Loan_summary_data.[Pre_payment_end_date] via link [Loan_summary_data_link],JOIN to the linked table in a view (returns array)
Investments,Loan_origination_date,multipleLookupValues,date,Loan_summary_data.[Loan_origination_date] via link [Loan_summary_data_link],JOIN to the linked table in a view (returns array)
Investments,Record_id,formula,singleLineText,RECORD_ID(),Postgres generated column or view expression
Investments,Annual_debt_payment_rollup,rollup,currency,Loan_summary_data.[Annual_debt_payment] via link [Loan_summary_data_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,2026_cash_flow_act+fcst+bud,formula,currency,{2026_NOI_Act+Fcst+Bud} - {Annual_debt_payment_rollup},Postgres generated column or view expression
Investments,2026_fcst_CoC_Return,formula,percent,{2026_cash_flow_act+fcst+bud}/{Equity_contributed},Postgres generated column or view expression
Investments,2026_distributions,rollup,currency,Distributions.[Amount] via link [Distributions],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Investments,annual_debt_payment,formula,number,{Monthly_debt_payment} * 12,Postgres generated column or view expression
Investments,RE_tax_1st_half_date,formula,date,"IF(
  {RE_tax_1st_half_due_date} = BLANK(), BLANK(),
  IF(
    DATETIME_PARSE({RE_tax_1st_half_due_date} & ""/"" & YEAR(TODAY()), ""M/D/YYYY"") < TODAY(),
    DATETIME_PARSE({RE_tax_1st_half_due_date} & ""/"" & (YEAR(TODAY())+1), ""M/D/YYYY""),
    DATETIME_PARSE({RE_tax_1st_half_due_date} & ""/"" & YEAR(TODAY()), ""M/D/YYYY"")
  )
)",Postgres generated column or view expression
Investments,RE_tax_2nd_half_date,formula,date,"IF(
  {RE_tax_2nd_half_due_date} = BLANK(), BLANK(),
  IF(
    DATETIME_PARSE({RE_tax_2nd_half_due_date} & ""/"" & YEAR(TODAY()), ""M/D/YYYY"") < TODAY(),
    DATETIME_PARSE({RE_tax_2nd_half_due_date} & ""/"" & (YEAR(TODAY())+1), ""M/D/YYYY""),
    DATETIME_PARSE({RE_tax_2nd_half_due_date} & ""/"" & YEAR(TODAY()), ""M/D/YYYY"")
  )
)",Postgres generated column or view expression
Investments,Date added,createdTime,date,,created_at timestamptz default now()
Asset_detail,Asset_detail_id,formula,singleLineText,{Asset_number},Postgres generated column or view expression
Asset_detail,Open_year,formula,number,YEAR({Open_date}),Postgres generated column or view expression
Asset_detail,Last_renovation_year,multipleLookupValues,number,STR_comp_set.[Latest_renovation_date] via link [STR_comp_set_link],JOIN to the linked table in a view (returns array)
Asset_detail,Latest_actuals_date,rollup,date,Hotel_actuals.[Date] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Asset_detail,Investment_status,multipleLookupValues,singleSelect,Investments.[Investment_status] via link [Investments_link],JOIN to the linked table in a view (returns array)
Asset_detail,Asset_subclass,multipleLookupValues,singleSelect,Investments.[Asset_subclass] via link [Investments_link],JOIN to the linked table in a view (returns array)
Asset_detail,Hotel_brand,multipleLookupValues,singleSelect,Hotel_brand_metrics.[Hotel_brand] via link [Hotel_brand_metrics_link],JOIN to the linked table in a view (returns array)
Asset_detail,Brand_acronym,multipleLookupValues,singleSelect,Hotel_brand_metrics.[Brand_acronym] via link [Hotel_brand_metrics_link],JOIN to the linked table in a view (returns array)
Asset_detail,Scale,multipleLookupValues,singleSelect,Hotel_brand_metrics.[Scale] via link [Hotel_brand_metrics_link],JOIN to the linked table in a view (returns array)
Asset_detail,Renovation_plan_start,formula,date,"IF({PIP_brand_renovation_due_date}=BLANK()
,BLANK()
,DATEADD(
  DATEADD({PIP_brand_renovation_due_date},1,'day')
  ,-9,'month')
)",Postgres generated column or view expression
Asset_detail,Est_PIP_cost,formula,currency,{Est_PIP_cost_per_key}*{Room_count},Postgres generated column or view expression
Asset_detail,Appfolio_valuation,multipleLookupValues,currency,Investments.[Appfolio_value] via link [Investments_link],JOIN to the linked table in a view (returns array)
Asset_detail,LTV,multipleLookupValues,percent,Investments.[LTV] via link [Investments_link],JOIN to the linked table in a view (returns array)
Asset_detail,TTM_LTV,multipleLookupValues,percent,Investments.[TTM_LTV] via link [Investments_link],JOIN to the linked table in a view (returns array)
Asset_detail,Target_operating_balance,multipleLookupValues,currency,Investments.[Target_operating_balance] via link [Investments_link],JOIN to the linked table in a view (returns array)
Asset_detail,Target_reserve_balance,multipleLookupValues,currency,Investments.[Target_reserve_balance] via link [Investments_link],JOIN to the linked table in a view (returns array)
Asset_detail,TTM_total_operating_revenue,rollup,currency,Hotel_actuals.[Total_operating_revenue] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Asset_detail,TTM_NOI,rollup,currency,Hotel_actuals.[EBITDA_NOI] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Asset_detail,TTM_adjusted_NOI,rollup,currency,Hotel_actuals.[Adjusted_NOI] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Asset_detail,TTM_debt_payment,rollup,currency,Hotel_actuals.[Monthly_debt_payment_manual_input] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
Asset_detail,Monthly_debt_payment,multipleLookupValues,currency,Investments.[Monthly_debt_payment] via link [Investments_link],JOIN to the linked table in a view (returns array)
Asset_detail,TTM_cash_flow,formula,currency,{TTM_NOI}-{TTM_debt_payment},Postgres generated column or view expression
Asset_detail,Latest_month_NOI,rollup,currency,Hotel_actuals.[EBITDA_NOI] via link [Hotel_actuals_link],Aggregate (SUM/AVG/etc.) in a view over the linked child rows
